player_id,last_season,datetime,date,dateweek,market_value_in_eur,n,current_club_id,player_club_domestic_competition_id
3310,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,700000,1,370,SC1
3321,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,3725,RU1
3322,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,150000,1,903,SC1
3333,2023,2004-10-04 00:00:00,2004-10-04,2004-10-04,7500000,1,1237,GB1
3354,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,3000000,1,2282,BE1
3356,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,6500000,1,989,GB1
3357,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,5000000,1,1003,GB1
3366,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,26000000,1,5,IT1
3391,2017,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,10484,TR1
3395,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,2800000,1,132,NL1
3397,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,25000000,1,985,GB1
3404,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,5500000,1,29,GB1
3405,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,5000000,1,289,GB1
3406,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,25000000,1,985,GB1
3411,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,25000000,1,294,PO1
3413,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,8000000,1,2292,TR1
3417,2017,2004-10-04 00:00:00,2004-10-04,2004-10-04,5000000,1,416,IT1
3428,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,22000000,1,46,IT1
3441,2017,2004-10-04 00:00:00,2004-10-04,2004-10-04,5000000,1,2282,BE1
3447,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,2778,DK1
3455,2022,2004-10-04 00:00:00,2004-10-04,2004-10-04,22000000,1,5,IT1
3458,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,6000000,1,19771,TR1
3461,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,8000000,1,1039,GB1
3466,2021,2004-10-04 00:00:00,2004-10-04,2004-10-04,1500000,1,1053,DK1
3467,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,2250000,1,1039,GB1
3473,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,6000000,1,512,GB1
3476,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,2000000,1,148,GB1
3480,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,7000000,1,1075,PO1
3495,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,2000000,1,237,ES1
3507,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,3000000,1,5,IT1
3515,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,8500000,1,383,NL1
3525,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,5000000,1,273,FR1
3530,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,3000000,1,82,L1
3531,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,2250000,1,6890,TR1
3534,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,2500000,1,683,GR1
3535,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,2000000,1,331,ES1
3539,2017,2004-10-04 00:00:00,2004-10-04,2004-10-04,1500000,1,265,GR1
3540,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,4500000,1,289,GB1
3547,2017,2004-10-04 00:00:00,2004-10-04,2004-10-04,2500000,1,512,GB1
3548,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,405,GB1
3560,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,250000,1,873,GB1
3562,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,3000000,1,289,GB1
3564,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,100000,1,370,SC1
3569,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,7500000,1,1162,FR1
3573,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,3500000,1,114,TR1
3575,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,8500000,1,595,FR1
3580,2018,2004-10-04 00:00:00,2004-10-04,2004-10-04,3500000,1,43,SC1
3583,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,2000000,1,511,SC1
3589,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,2000000,1,370,SC1
3597,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,6000000,1,31,GB1
3613,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,100000,1,903,SC1
3614,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,350000,1,29,GB1
3620,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,29,GB1
3630,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,7500000,1,1132,GB1
3634,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,3500000,1,1032,GB1
3640,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,200000,1,603,GB1
3666,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,3500000,1,1032,GB1
3668,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,100000,1,1010,GB1
3682,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,7000000,1,281,GB1
3692,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,1500000,1,379,GB1
3698,2018,2004-10-04 00:00:00,2004-10-04,2004-10-04,350000,1,465,SC1
3707,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,8500000,1,3911,FR1
3713,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,6500000,1,749,IT1
3719,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,1500000,1,43,SC1
3730,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,4000000,1,232,RU1
3753,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,250000,1,6418,GR1
3755,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,1500000,1,289,GB1
3762,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,603,GB1
3771,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,1500000,1,2079,GR1
3775,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,350000,1,379,GB1
3783,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,100000,1,465,SC1
3785,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,18000000,1,931,GB1
3788,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,1000000,1,512,GB1
3791,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,1500000,1,1071,GB1
3804,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,250000,1,1123,GB1
3807,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,3500000,1,1039,GB1
3816,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,225000,1,42,L1
3817,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,400000,1,39,L1
3824,2017,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,2553,SC1
3825,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,250000,1,2759,SC1
3838,2017,2004-10-04 00:00:00,2004-10-04,2004-10-04,150000,1,984,GB1
3851,2018,2004-10-04 00:00:00,2004-10-04,2004-10-04,300000,1,167,L1
3869,2018,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,511,SC1
3875,2021,2004-10-04 00:00:00,2004-10-04,2004-10-04,7500000,1,124,SC1
3876,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,9000000,1,405,GB1
3878,2017,2004-10-04 00:00:00,2004-10-04,2004-10-04,6000000,1,985,GB1
3881,2017,2004-10-04 00:00:00,2004-10-04,2004-10-04,8500000,1,512,GB1
3890,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,2000000,1,1147,FR1
3900,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,3250000,1,6418,GR1
3901,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,7500000,1,750,FR1
3913,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,2000000,1,750,FR1
3914,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,3500000,1,2292,TR1
3916,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,11250000,1,583,FR1
3924,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,30000000,1,631,GB1
3926,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,2500000,1,7185,GR1
3942,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,75000,1,24,L1
3947,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,1500000,1,1177,DK1
3950,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,3000000,1,379,GB1
3966,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,20000000,1,595,FR1
3975,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,50000,1,1506,TR1
3978,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,5000000,1,6996,UKR1
3979,2018,2004-10-04 00:00:00,2004-10-04,2004-10-04,16000000,1,720,PO1
3989,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,10000000,1,932,RU1
3995,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,200000,1,1123,GB1
4015,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,18000000,1,398,IT1
4018,2019,2004-10-04 00:00:00,2004-10-04,2004-10-04,250000,1,167,L1
4042,2017,2004-10-04 00:00:00,2004-10-04,2004-10-04,100000,1,234,NL1
4055,2017,2004-10-04 00:00:00,2004-10-04,2004-10-04,50000,1,1132,GB1
4056,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,4000000,1,931,GB1
4058,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,50000,1,180,GB1
4063,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,100000,1,641,GB1
4070,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,1000000,1,984,GB1
4072,2018,2004-10-04 00:00:00,2004-10-04,2004-10-04,3250000,1,1132,GB1
4075,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,100000,1,2292,TR1
4086,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,1750000,1,441,GR1
4094,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,100000,1,180,GB1
4095,2018,2004-10-04 00:00:00,2004-10-04,2004-10-04,100000,1,2999,SC1
4111,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,200000,1,2288,GB1
4112,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,5500000,1,512,GB1
4115,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,250000,1,984,GB1
4133,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,100000,1,1519,SC1
4158,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,2500000,1,132,NL1
4188,2021,2004-10-04 00:00:00,2004-10-04,2004-10-04,7500000,1,2420,PO1
4190,2018,2004-10-04 00:00:00,2004-10-04,2004-10-04,50000,1,603,GB1
4192,2018,2004-10-04 00:00:00,2004-10-04,2004-10-04,12000000,1,3426,DK1
4205,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,3500000,1,1039,GB1
